zone_id,x,y
1,-5,-2
2,-3,-2
3,-1,-2
4,1,-2
5,3,-2
6,5,-2
7,-5,0
8,-3,0
9,-1,0
10,1,0
11,3,0
12,5,0
13,-5,2
14,-3,2
15,-1,2
16,1,2
17,3,2
18,-1,4
19,1,4
